Base_Name,Total_Num,Daily_Raw
After Hours,2049895185,1071918
Christmas & Chill,1769055514,5939296
Christmas Kisses,2020364824,6928474
Dangerous Woman,8416444552,3933861
My Everything,8257689687,3447076
Positions,6276087393,1958239
Starboy,1231078826,531361
Sweet Talker,1618781032,505001
Sweetener,5726554189,1606224
The Remix,42911901,5251
When Christmas Comes Around...,236220631,2102347
Wicked: For Good,56062752,1485966
Wicked: OST,753317482,1643261
Wicked: One Wonderful Night,15959007,192342
Yours Truly,2192756311,779969
Yours Truly (Tenth Anniversary Edition),2251541883,814406
k bye for now,342276480,98218
"thank u, next",9117750141,3579325
eternal sunshine deluxe: brighter days ahead,6197740954,5753044
