Base_Name,Total_Num,Daily_Raw
After Hours,2123426520,1034999
Christmas & Chill,1919935069,110980
Christmas Kisses,2197682513,104996
Dangerous Woman,8684233673,4247444
My Everything,8504255169,4175597
Positions,6403063639,1897477
Starboy,1263299160,511403
Sweet Talker,1651349279,493115
Sweetener,5835661381,1647646
The Remix,43314364,6608
When Christmas Comes Around...,288337606,11295
Wicked: For Good,97204144,277147
Wicked: OST,806055162,487201
Wicked: One Wonderful Night,21681430,45025
Yours Truly,2244047698,763095
Yours Truly (Tenth Anniversary Edition),2304961678,795537
k bye for now,348974233,102874
"thank u, next",9359724600,3984089
eternal sunshine deluxe: brighter days ahead,6536064421,4947084
