Base_Name,Total_Num,Daily_Raw
After Hours,2085886659,1154742
Christmas & Chill,1914657791,277738
Christmas Kisses,2192488481,296721
Dangerous Woman,8542590502,4226383
My Everything,8372447207,3973518
Positions,6337138808,2092078
Starboy,1246363332,488313
Sweet Talker,1634314952,532888
Sweetener,5779088230,1784559
The Remix,43098639,6895
When Christmas Comes Around...,287502068,64798
Wicked: For Good,83619321,615115
Wicked: OST,785753224,760410
Wicked: One Wonderful Night,19719786,85076
Yours Truly,2216843376,865966
Yours Truly (Tenth Anniversary Edition),2276651188,899522
k bye for now,345473810,109419
"thank u, next",9234182980,3709867
eternal sunshine deluxe: brighter days ahead,6365226683,5651331
