Base_Name,Total_Num,Daily_Raw
After Hours,2083541424,1209311
Christmas & Chill,1914056386,348486
Christmas Kisses,2191843651,378843
Dangerous Woman,8534193708,4094287
My Everything,8364489680,3907766
Positions,6332980818,1938991
Starboy,1245396332,480304
Sweet Talker,1633279006,522934
Sweetener,5775558686,1732742
The Remix,43085166,6205
When Christmas Comes Around...,287362133,82049
Wicked: For Good,82409636,605049
Wicked: OST,784227796,785124
Wicked: One Wonderful Night,19551733,80474
Yours Truly,2215175270,735992
Yours Truly (Tenth Anniversary Edition),2274916145,768007
k bye for now,345259170,101023
"thank u, next",9226692330,3801359
eternal sunshine deluxe: brighter days ahead,6354010422,5444407
