Base_Name,Total_Num,Daily_Raw
After Hours,2105109790,1115537
Christmas & Chill,1917788108,147824
Christmas Kisses,2195628147,142902
Dangerous Woman,8615384736,4071797
My Everything,8438942539,3745169
Positions,6371185121,1824606
Starboy,1254885856,521636
Sweet Talker,1643183588,501455
Sweetener,5808606073,1588570
The Remix,43208882,6646
When Christmas Comes Around...,288122141,17773
Wicked: For Good,91793461,367200
Wicked: OST,797050679,578351
Wicked: One Wonderful Night,20853153,51603
Yours Truly,2230755298,765892
Yours Truly (Tenth Anniversary Edition),2291126915,796085
k bye for now,347270914,97851
"thank u, next",9296914066,3516129
eternal sunshine deluxe: brighter days ahead,6453469981,4762444
