Base_Name,Total_Num,Daily_Raw
After Hours,2088229852,1181874
Christmas & Chill,1915139893,234666
Christmas Kisses,2193002115,250823
Dangerous Woman,8550925662,4126723
My Everything,8380375165,3995227
Positions,6341189237,1968051
Starboy,1247356011,500053
Sweet Talker,1635391554,533509
Sweetener,5782619937,1767070
The Remix,43112119,6881
When Christmas Comes Around...,287609906,53804
Wicked: For Good,84812765,583421
Wicked: OST,787275529,770469
Wicked: One Wonderful Night,19883846,78553
Yours Truly,2218437520,783975
Yours Truly (Tenth Anniversary Edition),2278312901,816948
k bye for now,345691104,107660
"thank u, next",9241654282,3754280
eternal sunshine deluxe: brighter days ahead,6376148336,5337800
