Base_Name,Total_Num,Daily_Raw
After Hours,2144009671,959539
Christmas & Chill,1921736558,78889
Christmas Kisses,2199374849,73371
Dangerous Woman,8761557932,3763397
My Everything,8582046729,3712330
Positions,6440645592,1830878
Starboy,1273263270,459303
Sweet Talker,1661081049,463034
Sweetener,5867300467,1623945
The Remix,43445551,6114
When Christmas Comes Around...,288529273,8037
Wicked: For Good,102005665,212171
Wicked: OST,815050504,394992
Wicked: One Wonderful Night,22440937,34430
Yours Truly,2259523470,713319
Yours Truly (Tenth Anniversary Edition),2321073130,744413
k bye for now,350898406,94729
"thank u, next",9428902239,3421384
eternal sunshine deluxe: brighter days ahead,6628187238,4455582
