Base_Name,Total_Num,Daily_Raw
After Hours,2084731917,1190493
Christmas & Chill,1914380053,323667
Christmas Kisses,2192191760,348109
Dangerous Woman,8538364119,4170411
My Everything,8368480560,3997161
Positions,6335046730,2065912
Starboy,1245875019,478687
Sweet Talker,1633782064,503058
Sweetener,5777303671,1744985
The Remix,43091744,6578
When Christmas Comes Around...,287437270,75137
Wicked: For Good,83004206,594570
Wicked: OST,784992814,765018
Wicked: One Wonderful Night,19634710,82977
Yours Truly,2215977410,802140
Yours Truly (Tenth Anniversary Edition),2275751666,835521
k bye for now,345364391,105221
"thank u, next",9230473113,3780783
eternal sunshine deluxe: brighter days ahead,6359575352,5564930
