Base_Name,Total_Num,Daily_Raw
After Hours,2150433865,951479
Christmas & Chill,1922430801,75239
Christmas Kisses,2200025471,70628
Dangerous Woman,8794652604,3702111
My Everything,8616407333,3759164
Positions,6456507338,1745392
Starboy,1277322249,480972
Sweet Talker,1665359542,466306
Sweetener,5881604090,1598937
The Remix,43503964,6572
When Christmas Comes Around...,288604185,8272
Wicked: For Good,104062968,239055
Wicked: OST,818953466,428716
Wicked: One Wonderful Night,22746877,33530
Yours Truly,2265807993,739187
Yours Truly (Tenth Anniversary Edition),2327632700,770402
k bye for now,351770118,98628
"thank u, next",9458224851,3220152
eternal sunshine deluxe: brighter days ahead,6667662142,4616799
