Base_Name,Total_Num,Daily_Raw
After Hours,2151420337,986472
Christmas & Chill,1922505623,74822
Christmas Kisses,2200095861,70390
Dangerous Woman,8798475880,3823276
My Everything,8620228269,3825700
Positions,6458426588,1919250
Starboy,1277842868,520619
Sweet Talker,1665831048,471506
Sweetener,5883190819,1586729
The Remix,43510666,6702
When Christmas Comes Around...,288612800,8615
Wicked: For Good,104303421,240453
Wicked: OST,819384863,431397
Wicked: One Wonderful Night,22782479,35602
Yours Truly,2266594589,786596
Yours Truly (Tenth Anniversary Edition),2328450918,818218
k bye for now,351869666,99548
"thank u, next",9461419911,3195060
eternal sunshine deluxe: brighter days ahead,6672387446,4725304
