Base_Name,Total_Num,Daily_Raw
After Hours,2074071237,1105902
Christmas & Chill,1909631923,1124678
Christmas Kisses,2186730080,1317733
Dangerous Woman,8507286602,4025594
My Everything,8339571053,3603770
Positions,6320215152,1874106
Starboy,1242235603,467268
Sweet Talker,1629764123,496313
Sweetener,5764691594,1615846
The Remix,43042036,5989
When Christmas Comes Around...,286150574,348060
Wicked: For Good,78210981,658919
Wicked: OST,778616951,873023
Wicked: One Wonderful Night,18995874,86446
Yours Truly,2210332667,729178
Yours Truly (Tenth Anniversary Edition),2269866498,759845
k bye for now,344612022,100091
"thank u, next",9201794636,3724865
eternal sunshine deluxe: brighter days ahead,6318022990,5099410
