Base_Name,Total_Num,Daily_Raw
After Hours,2109314788,1111940
Christmas & Chill,1918342951,138034
Christmas Kisses,2196158910,131424
Dangerous Woman,8631534467,4222857
My Everything,8453877003,3857347
Positions,6378763603,2025521
Starboy,1256867119,492191
Sweet Talker,1645020925,462364
Sweetener,5814974420,1649700
The Remix,43231735,5743
When Christmas Comes Around...,288179268,13452
Wicked: For Good,93200781,368475
Wicked: OST,799181238,559871
Wicked: One Wonderful Night,21065853,54787
Yours Truly,2233915834,837631
Yours Truly (Tenth Anniversary Edition),2294415136,871268
k bye for now,347684294,110143
"thank u, next",9311747979,4024857
eternal sunshine deluxe: brighter days ahead,6472629694,5048015
