Base_Name,Total_Num,Daily_Raw
After Hours,2103994253,1092132
Christmas & Chill,1917640284,146076
Christmas Kisses,2195485245,138751
Dangerous Woman,8611312939,4456698
My Everything,8435201875,4171076
Positions,6369360515,2025633
Starboy,1254364220,505811
Sweet Talker,1642682133,531869
Sweetener,5807017503,1791840
The Remix,43202236,6682
When Christmas Comes Around...,288104368,22514
Wicked: For Good,91426261,411730
Wicked: OST,796472328,609966
Wicked: One Wonderful Night,20801550,61306
Yours Truly,2229989406,898003
Yours Truly (Tenth Anniversary Edition),2290330830,931796
k bye for now,347173063,107769
"thank u, next",9293397937,3761599
eternal sunshine deluxe: brighter days ahead,6448707537,4911996
