Base_Name,Total_Num,Daily_Raw
After Hours,2048823267,1130632
Christmas & Chill,1763116218,4803359
Christmas Kisses,2013436350,5609528
Dangerous Woman,8412510691,4094897
My Everything,8254247842,3625824
Positions,6274129154,2070058
Starboy,1230547465,536633
Sweet Talker,1618276031,521502
Sweetener,5724947965,1750442
The Remix,42906650,5154
When Christmas Comes Around...,234118284,1607476
Wicked: For Good,54576786,1667867
Wicked: OST,751674221,1765680
Wicked: One Wonderful Night,15766665,219645
Yours Truly,2191976342,844750
Yours Truly (Tenth Anniversary Edition),2250727477,881683
k bye for now,342178262,108125
"thank u, next",9114170816,3706882
eternal sunshine deluxe: brighter days ahead,6191987910,6281968
