Base_Name,Total_Num,Daily_Raw
After Hours,2108202848,1089319.0
Christmas & Chill,1918204917,138937.0
Christmas Kisses,2196027486,132101.0
Dangerous Woman,8627311610,4126270.0
My Everything,8450024709,3771472.0
Positions,6376738082,2009104.0
Starboy,1256374928,491511.0
Sweet Talker,1644558561,458498.0
Sweetener,5813324720,1652850.0
The Remix,43225992,5718.0
When Christmas Comes Around...,288165816,13674.0
Wicked: For Good,92832306,361234.0
Wicked: OST,798621367,545409.0
Wicked: One Wonderful Night,21011066,55285.0
Yours Truly,2233078203,828569.0
Yours Truly (Tenth Anniversary Edition),2293543868,862433.0
k bye for now,347574151,107159.0
"thank u, next",9307723122,3840507.0
eternal sunshine deluxe: brighter days ahead,6467581679,4936667.0
