Base_Name,Total_Num,Daily_Raw
After Hours,2153448367,965579
Christmas & Chill,1922657130,74869
Christmas Kisses,2200238718,71216
Dangerous Woman,8806113736,3802729
My Everything,8628064549,3880333
Positions,6461946951,1626853
Starboy,1278703036,375028
Sweet Talker,1666842572,498306
Sweetener,5886321694,1512004
The Remix,43524620,7098
When Christmas Comes Around...,288630014,8740
Wicked: For Good,104762024,220547
Wicked: OST,820263573,435168
Wicked: One Wonderful Night,22845769,29763
Yours Truly,2268043131,676090
Yours Truly (Tenth Anniversary Edition),2329959848,704611
k bye for now,352059859,90083
"thank u, next",9467933667,3275305
eternal sunshine deluxe: brighter days ahead,6681270781,8883335
