Base_Name,Total_Num,Daily_Raw
After Hours,2110430442,1115654
Christmas & Chill,1918478203,135252
Christmas Kisses,2196288191,129281
Dangerous Woman,8635797614,4263147
My Everything,8457793324,3921833
Positions,6380764137,2000534
Starboy,1257350960,483841
Sweet Talker,1645483525,462600
Sweetener,5816647479,1673059
The Remix,43237684,5949
When Christmas Comes Around...,288192468,13200
Wicked: For Good,93561350,360569
Wicked: OST,799742285,561047
Wicked: One Wonderful Night,21121022,55169
Yours Truly,2234767352,851518
Yours Truly (Tenth Anniversary Edition),2295300839,885703
k bye for now,347791554,107260
"thank u, next",9315767860,4019881
eternal sunshine deluxe: brighter days ahead,6477675917,5046223
