Base_Name,Total_Num,Daily_Raw
After Hours,2072009672,1031309
Christmas & Chill,1907014016,2160912
Christmas Kisses,2183652013,2645724
Dangerous Woman,8499733468,3570213
My Everything,8332787996,3253785
Positions,6316628046,1788245
Starboy,1241343175,442198
Sweet Talker,1628833569,450547
Sweetener,5761669915,1435198
The Remix,43030801,5361
When Christmas Comes Around...,285327676,751619
Wicked: For Good,76942368,627652
Wicked: OST,776940623,851240
Wicked: One Wonderful Night,18829268,83048
Yours Truly,2208958015,682010
Yours Truly (Tenth Anniversary Edition),2268432563,710957
k bye for now,344420362,93705
"thank u, next",9194704690,3403333
eternal sunshine deluxe: brighter days ahead,6308307713,4857155
