Base_Name,Total_Num,Daily_Raw
After Hours,2116794419,1110486
Christmas & Chill,1919238638,122537
Christmas Kisses,2197015401,114888
Dangerous Woman,8659694991,4193717
My Everything,8480115508,3714591
Positions,6391909749,1931122
Starboy,1260262234,495991
Sweet Talker,1648385362,491316
Sweetener,5826122927,1686081
The Remix,43274408,6247
When Christmas Comes Around...,288268608,12455
Wicked: For Good,95504980,318021
Wicked: OST,803020830,533256
Wicked: One Wonderful Night,21414499,50245
Yours Truly,2239454043,825275
Yours Truly (Tenth Anniversary Edition),2300177921,859358
k bye for now,348386736,103235
"thank u, next",9337577322,3697517
eternal sunshine deluxe: brighter days ahead,6506890619,5164407
