Base_Name,Total_Num,Daily_Raw
After Hours,2089367800,1137948.0
Christmas & Chill,1915380798,240905.0
Christmas Kisses,2193263327,261212.0
Dangerous Woman,8555026891,4101229.0
My Everything,8384141893,3771417.0
Positions,6343120701,1931464.0
Starboy,1247839146,483135.0
Sweet Talker,1635915395,523841.0
Sweetener,5784281298,1661361.0
The Remix,43118870,6751.0
When Christmas Comes Around...,287664399,54493.0
Wicked: For Good,85362980,550215.0
Wicked: OST,788028841,753312.0
Wicked: One Wonderful Night,19955594,71748.0
Yours Truly,2219233547,796027.0
Yours Truly (Tenth Anniversary Edition),2279139467,826566.0
k bye for now,345790400,99296.0
"thank u, next",9245335650,3681368.0
eternal sunshine deluxe: brighter days ahead,6381269524,5121188.0
