Base_Name,Total_Num,Daily_Raw
After Hours,2121325971,1107361
Christmas & Chill,1919714635,114206
Christmas Kisses,2197474159,112291
Dangerous Woman,8676086950,3775402
My Everything,8496268000,3704708
Positions,6399380194,1699419
Starboy,1262300196,479251
Sweet Talker,1650382342,483014
Sweetener,5832499778,1436963
The Remix,43301610,6092
When Christmas Comes Around...,288315636,11160
Wicked: For Good,96660640,258524
Wicked: OST,805105772,480131
Wicked: One Wonderful Night,21593833,39507
Yours Truly,2242568548,726418
Yours Truly (Tenth Anniversary Edition),2303419859,754971
k bye for now,348775728,90192
"thank u, next",9352099503,3492611
eternal sunshine deluxe: brighter days ahead,6526435312,4468079
