Base_Name,Total_Num,Daily_Raw
After Hours,2111523834,1093392.0
Christmas & Chill,1918610460,132257.0
Christmas Kisses,2196415281,127090.0
Dangerous Woman,8640229839,4432225.0
My Everything,8461866967,4078149.0
Positions,6382669312,1905175.0
Starboy,1257853146,502186.0
Sweet Talker,1646006516,522991.0
Sweetener,5818349259,1701780.0
The Remix,43244295,6611.0
When Christmas Comes Around...,288206452,13984.0
Wicked: For Good,93916020,354670.0
Wicked: OST,800306256,563971.0
Wicked: One Wonderful Night,21173240,52218.0
Yours Truly,2235563717,796365.0
Yours Truly (Tenth Anniversary Edition),2296130914,830075.0
k bye for now,347896533,104979.0
"thank u, next",9319491639,3723779.0
eternal sunshine deluxe: brighter days ahead,6482800427,5124510.0
