Base_Name,Total_Num,Daily_Raw
After Hours,2082332113,990514
Christmas & Chill,1913707900,356353
Christmas Kisses,2191464808,391754
Dangerous Woman,8530099421,3687195
My Everything,8360587591,3376838
Positions,6331041827,1723267
Starboy,1244916028,437951
Sweet Talker,1632756072,464484
Sweetener,5773825944,1486014
The Remix,43078961,5626
When Christmas Comes Around...,287280084,87683
Wicked: For Good,81804587,553786
Wicked: OST,783442672,734770
Wicked: One Wonderful Night,19471259,73824
Yours Truly,2214439278,694015
Yours Truly (Tenth Anniversary Edition),2274148138,722539
k bye for now,345158147,91123
"thank u, next",9222890971,3368118
eternal sunshine deluxe: brighter days ahead,6348566015,5007639
