Base_Name,Total_Num,Daily_Raw
After Hours,2043315192,961000.0
Christmas & Chill,1740870710,4966369.0
Christmas Kisses,1987915972,5699937.0
Dangerous Woman,8392056631,3722267.0
My Everything,8236018074,3341381.0
Positions,6263644569,1818085.0
Starboy,1227929417,456345.0
Sweet Talker,1615740971,495692.0
Sweetener,5716279018,1486462.0
The Remix,42881199,4353.0
Wicked: For Good,44648386,2299355.0
Wicked: OST,742167113,2163539.0
Wicked: One Wonderful Night,14413633,297525.0
Yours Truly,2187767443,774845.0
Yours Truly (Tenth Anniversary Edition),2246330904,807462.0
k bye for now,341605509,94982.0
"thank u, next",9095711007,3366415.0
eternal sunshine deluxe: brighter days ahead,6161350994,5085343.0
