Base_Name,Total_Num,Daily_Raw
After Hours,2068121961,1079918
Christmas & Chill,1867763810,9095706
Christmas Kisses,2136251646,10620593
Dangerous Woman,8485940900,4136361
My Everything,8320322663,3775403
Positions,6309965980,1911282
Starboy,1239652895,480489
Sweet Talker,1627078373,500538
Sweetener,5756190727,1750538
The Remix,43010177,6139
When Christmas Comes Around...,270647698,3154493
Wicked: For Good,74554773,786467
Wicked: OST,773746178,1006397
Wicked: One Wonderful Night,18507433,108416
Yours Truly,2206397935,779835
Yours Truly (Tenth Anniversary Edition),2265763260,812639
k bye for now,344071131,101604
"thank u, next",9181655456,3797862
eternal sunshine deluxe: brighter days ahead,6290202368,5313559
