Base_Name,Total_Num,Daily_Raw
After Hours,2050840194,945009.0
Christmas & Chill,1774798012,5742498.0
Christmas Kisses,2026991679,6626855.0
Dangerous Woman,8420160125,3715573.0
My Everything,8260893994,3209689.0
Positions,6277944882,1857489.0
Starboy,1231565231,486405.0
Sweet Talker,1619234764,453732.0
Sweetener,5728081849,1527660.0
The Remix,42916079,4178.0
When Christmas Comes Around...,238183774,1963143.0
Wicked: For Good,57400143,1337391.0
Wicked: OST,754758526,1441044.0
Wicked: One Wonderful Night,16133409,174402.0
Yours Truly,2193512231,755920.0
Yours Truly (Tenth Anniversary Edition),2252329466,787583.0
k bye for now,342367981,91501.0
"thank u, next",9121150619,3400478.0
eternal sunshine deluxe: brighter days ahead,6203094691,5353737.0
