Base_Name,Total_Num,Daily_Raw
After Hours,2146047218,1061904
Christmas & Chill,1921894153,79219
Christmas Kisses,2199521313,73386
Dangerous Woman,8769351934,3882388
My Everything,8590138206,4019918
Positions,6444356214,1862861
Starboy,1274150892,454166
Sweet Talker,1662041777,482320
Sweetener,5870608200,1644941
The Remix,43458402,6361
When Christmas Comes Around...,288545926,8470
Wicked: For Good,102437306,216264
Wicked: OST,815881767,420358
Wicked: One Wonderful Night,22513057,35718
Yours Truly,2261080907,764010
Yours Truly (Tenth Anniversary Edition),2322695240,796843
k bye for now,351098535,101889
"thank u, next",9435739042,3378261
eternal sunshine deluxe: brighter days ahead,6637696942,4787592
