Base_Name,Total_Num,Daily_Raw
After Hours,2134210834,991999
Christmas & Chill,1920908599,89091
Christmas Kisses,2198594947,83377
Dangerous Woman,8724004614,3850320
My Everything,8543962453,3891765
Positions,6422328225,2005403
Starboy,1268493601,498899
Sweet Talker,1656267156,482084
Sweetener,5851682815,1625704
The Remix,43380141,6905
When Christmas Comes Around...,288438504,9894
Wicked: For Good,99772907,250497
Wicked: OST,810740967,478251
Wicked: One Wonderful Night,22085571,39477
Yours Truly,2252023274,804434
Yours Truly (Tenth Anniversary Edition),2313259962,837243
k bye for now,349949784,102758
"thank u, next",9395261723,3570373
eternal sunshine deluxe: brighter days ahead,6583018782,4787756
