Base_Name,Total_Num,Daily_Raw
After Hours,2119055392,1160329
Christmas & Chill,1919480804,119568
Christmas Kisses,2197245080,113885
Dangerous Woman,8668217047,4203946
My Everything,8488382880,4175664
Positions,6395813857,1951594
Starboy,1261301073,506394
Sweet Talker,1649380619,527722
Sweetener,5829533565,1682687
The Remix,43288098,7129
When Christmas Comes Around...,288292392,11826
Wicked: For Good,96120116,304756
Wicked: OST,804099050,542866
Wicked: One Wonderful Night,21512391,47724
Yours Truly,2241095313,790603
Yours Truly (Tenth Anniversary Edition),2301887253,824447
k bye for now,348592195,102156
"thank u, next",9345081324,3769004
eternal sunshine deluxe: brighter days ahead,6517199468,10308849
