Base_Name,Total_Num,Daily_Raw
After Hours,2092627102,1111885.0
Christmas & Chill,1916009755,197024.0
Christmas Kisses,2193902588,197889.0
Dangerous Woman,8567621795,4418780.0
My Everything,8395362056,3978800.0
Positions,6349207314,2106850.0
Starboy,1249297774,498548.0
Sweet Talker,1637405922,509520.0
Sweetener,5789352697,1809002.0
The Remix,43137645,6507.0
When Christmas Comes Around...,287799528,43105.0
Wicked: For Good,86944722,529326.0
Wicked: OST,790144019,703173.0
Wicked: One Wonderful Night,20170718,73480.0
Yours Truly,2221591951,829992.0
Yours Truly (Tenth Anniversary Edition),2281597856,864867.0
k bye for now,346103829,113161.0
"thank u, next",9256341663,3873252.0
eternal sunshine deluxe: brighter days ahead,6397352906,5782419.0
