Base_Name,Total_Num,Daily_Raw
After Hours,2040230212,1030904.0
Christmas & Chill,1728024590,2932680.0
Christmas Kisses,1973226158,3336633.0
Dangerous Woman,8380608093,3746629.0
My Everything,8225759989,3433856.0
Positions,6258026721,1991110.0
Starboy,1226487748,486721.0
Sweet Talker,1614242706,492126.0
Sweetener,5711733009,1678099.0
The Remix,42866311,4952.0
Wicked: For Good,37137966,3308560.0
Wicked: OST,735355566,2403112.0
Wicked: One Wonderful Night,13407938,442115.0
Yours Truly,2185322144,833097.0
Yours Truly (Tenth Anniversary Edition),2243784069,869924.0
k bye for now,341314584,104038.0
"thank u, next",9085554393,3276877.0
eternal sunshine deluxe: brighter days ahead,6145764633,5297363.0
