Base_Name,Total_Num,Daily_Raw
After Hours,2129032371,1004747
Christmas & Chill,1920458202,92102
Christmas Kisses,2198175393,86700
Dangerous Woman,8704276180,3570426
My Everything,8524302070,3626774
Positions,6412633411,1688676
Starboy,1265953435,493555
Sweet Talker,1653874969,474377
Sweetener,5843674628,1431207
The Remix,43347695,5974
When Christmas Comes Around...,288390856,9651
Wicked: For Good,98516641,234589
Wicked: OST,808406345,433290
Wicked: One Wonderful Night,21888911,36554
Yours Truly,2248040196,726881
Yours Truly (Tenth Anniversary Edition),2309114614,755388
k bye for now,349457127,85092
"thank u, next",9377728588,3319712
eternal sunshine deluxe: brighter days ahead,6559303746,4252844
