Base_Name,Total_Num,Daily_Raw
After Hours,2072965335,955663
Christmas & Chill,1908507245,1493229
Christmas Kisses,2185412347,1760334
Dangerous Woman,8503261008,3527540
My Everything,8335972094,3189060
Positions,6318341046,1713000
Starboy,1241768335,425160
Sweet Talker,1629267810,434241
Sweetener,5763075748,1405833
The Remix,43036047,5246
When Christmas Comes Around...,285802514,474838
Wicked: For Good,77552062,609694
Wicked: OST,777743928,803305
Wicked: One Wonderful Night,18909428,80160
Yours Truly,2209603489,645474
Yours Truly (Tenth Anniversary Edition),2269106653,674090
k bye for now,344511931,91569
"thank u, next",9198069771,3365081
eternal sunshine deluxe: brighter days ahead,6312923580,4615867
