Base_Name,Total_Num,Daily_Raw
After Hours,2126903907,1116758
Christmas & Chill,1920267755,110200
Christmas Kisses,2197995722,102993
Dangerous Woman,8696768376,4097050
My Everything,8516612379,4078356
Positions,6409053402,1968973
Starboy,1264921334,525216
Sweet Talker,1652891268,502795
Sweetener,5840671361,1688240
The Remix,43334675,6892
When Christmas Comes Around...,288370447,11115
Wicked: For Good,98033287,277842
Wicked: OST,807508667,494532
Wicked: One Wonderful Night,21813117,43784
Yours Truly,2246520123,803129
Yours Truly (Tenth Anniversary Edition),2307534265,836977
k bye for now,349281126,101856
"thank u, next",9370745693,3694918
eternal sunshine deluxe: brighter days ahead,6551095774,4923989
