Base_Name,Total_Num,Daily_Raw
After Hours,2144985314,975643
Christmas & Chill,1921814934,78376
Christmas Kisses,2199447927,73078
Dangerous Woman,8765469546,3911614
My Everything,8586122761,4080995
Positions,6442493353,1847761
Starboy,1273696726,433456
Sweet Talker,1661559457,478408
Sweetener,5868963259,1662792
The Remix,43452041,6490
When Christmas Comes Around...,288537456,8183
Wicked: For Good,102221042,215377
Wicked: OST,815461409,410905
Wicked: One Wonderful Night,22477339,36402
Yours Truly,2260316897,793427
Yours Truly (Tenth Anniversary Edition),2321898397,825267
k bye for now,350996646,98240
"thank u, next",9432360781,3458542
eternal sunshine deluxe: brighter days ahead,6632909350,4722112
