Base_Name,Total_Num,Daily_Raw
After Hours,2131075208,1048607
Christmas & Chill,1920641052,92143
Christmas Kisses,2198345045,85509
Dangerous Woman,8712147465,3991655
My Everything,8532031746,3940060
Positions,6416344711,1926505
Starboy,1266966692,530047
Sweet Talker,1654843873,478327
Sweetener,5846850467,1621662
The Remix,43360175,6378
When Christmas Comes Around...,288409452,9226
Wicked: For Good,99019213,251916
Wicked: OST,809339915,466706
Wicked: One Wonderful Night,21967213,39357
Yours Truly,2249594758,790904
Yours Truly (Tenth Anniversary Edition),2310732342,822926
k bye for now,349641582,93230
"thank u, next",9384673481,3491518
eternal sunshine deluxe: brighter days ahead,6568634481,4733660
