Base_Name,Total_Num,Daily_Raw
After Hours,2051874468,1034274.0
Christmas & Chill,1779710329,4912317.0
Christmas Kisses,2032653650,5661971.0
Dangerous Woman,8424189245,4029120.0
My Everything,8264417466,3529426.0
Positions,6280010681,2065799.0
Starboy,1232070762,505531.0
Sweet Talker,1619728121,493357.0
Sweetener,5729804766,1722917.0
The Remix,42920824,4745.0
When Christmas Comes Around...,239784377,1600603.0
Wicked: For Good,58846908,1446765.0
Wicked: OST,756211517,1452991.0
Wicked: One Wonderful Night,16324105,190696.0
Yours Truly,2194361042,848811.0
Yours Truly (Tenth Anniversary Edition),2253214598,885132.0
k bye for now,342472674,104693.0
"thank u, next",9124910005,3759386.0
eternal sunshine deluxe: brighter days ahead,6209006765,5912074.0
