Base_Name,Total_Num,Daily_Raw
After Hours,2125787149,1185975
Christmas & Chill,1920157555,110568
Christmas Kisses,2197892729,103549
Dangerous Woman,8692671326,4209522
My Everything,8512538886,4113064
Positions,6407084429,2037110
Starboy,1264396118,560082
Sweet Talker,1652388473,531466
Sweetener,5838983121,1674080
The Remix,43327783,6502
When Christmas Comes Around...,288359332,10784
Wicked: For Good,97755445,277278
Wicked: OST,807014135,483067
Wicked: One Wonderful Night,21769333,43989
Yours Truly,2245716994,828969
Yours Truly (Tenth Anniversary Edition),2306697288,862625
k bye for now,349179270,101590
"thank u, next",9367050775,3651948
eternal sunshine deluxe: brighter days ahead,6546171785,4977763
