Base_Name,Total_Num,Daily_Raw
After Hours,2122391521,1065550
Christmas & Chill,1919824089,109454
Christmas Kisses,2197577517,103358
Dangerous Woman,8679986229,3899279
My Everything,8500084751,3821530
Positions,6401166162,1785968
Starboy,1262787757,487561
Sweet Talker,1650856164,473822
Sweetener,5834013735,1513957
The Remix,43307756,6146
When Christmas Comes Around...,288326311,10675
Wicked: For Good,96926997,266357
Wicked: OST,805567961,462189
Wicked: One Wonderful Night,21636405,42572
Yours Truly,2243284603,716055
Yours Truly (Tenth Anniversary Edition),2304166141,746282
k bye for now,348871359,95631
"thank u, next",9355740511,3641008
eternal sunshine deluxe: brighter days ahead,6531117337,4682025
