Base_Name,Total_Num,Daily_Raw
After Hours,2064956058,1092473
Christmas & Chill,1844663781,7207086
Christmas Kisses,2109140006,8496602
Dangerous Woman,8473931466,3910273
My Everything,8309368113,3579494
Positions,6304365883,1900548
Starboy,1238236963,478473
Sweet Talker,1625641735,505015
Sweetener,5751199550,1665679
The Remix,42992496,6086
When Christmas Comes Around...,262527970,2637860
Wicked: For Good,72236615,831156
Wicked: OST,770770380,1038317
Wicked: One Wonderful Night,18187615,111591
Yours Truly,2204174457,720919
Yours Truly (Tenth Anniversary Edition),2263444270,752547
k bye for now,343775424,102454
"thank u, next",9170575600,3653319
eternal sunshine deluxe: brighter days ahead,6274924786,4972145
