Base_Name,Total_Num,Daily_Raw
After Hours,2078764174,1287426
Christmas & Chill,1912459955,600411
Christmas Kisses,2190067828,689188
Dangerous Woman,8518875542,3066009
My Everything,8350276529,2895472
Positions,6325708534,1492014
Starboy,1243561179,378862
Sweet Talker,1631293122,415555
Sweetener,5769307589,1238719
The Remix,43061379,5229
When Christmas Comes Around...,286971460,162652
Wicked: For Good,80056883,483318
Wicked: OST,781115618,677225
Wicked: One Wonderful Night,19241035,66073
Yours Truly,2212385907,565758
Yours Truly (Tenth Anniversary Edition),2272007652,588996
k bye for now,344880269,72422
"thank u, next",9212422001,2875169
eternal sunshine deluxe: brighter days ahead,6333533195,4263069
