Base_Name,Total_Num,Daily_Raw
After Hours,2139137201,1104710
Christmas & Chill,1921333622,83464
Christmas Kisses,2198994026,77460
Dangerous Woman,8742669294,3900230
My Everything,8562892596,4102363
Positions,6431562310,1976331
Starboy,1270934957,528109
Sweet Talker,1658655633,474926
Sweetener,5859355257,1659649
The Remix,43412874,6599
When Christmas Comes Around...,288487079,8906
Wicked: For Good,100919947,236482
Wicked: OST,812931603,435270
Wicked: One Wonderful Night,22267679,38140
Yours Truly,2255872393,782289
Yours Truly (Tenth Anniversary Edition),2317266439,816097
k bye for now,350427050,101483
"thank u, next",9411968835,3619987
eternal sunshine deluxe: brighter days ahead,6606281705,4933658
