Base_Name,Total_Num,Daily_Raw
After Hours,2056322114,1110442
Christmas & Chill,1798435445,5225788
Christmas Kisses,2054498922,6137298
Dangerous Woman,8440979873,4290754
My Everything,8279411202,4014124
Positions,6288403466,2074802
Starboy,1234223395,524041
Sweet Talker,1621705881,514166
Sweetener,5737162271,1816055
The Remix,42945231,6554
When Christmas Comes Around...,246218850,1803049
Wicked: For Good,64172849,1281824
Wicked: OST,761685591,1352444
Wicked: One Wonderful Night,17053350,185039
Yours Truly,2197777613,850944
Yours Truly (Tenth Anniversary Edition),2256780854,886038
k bye for now,342924093,115849
"thank u, next",9140440477,3945336
eternal sunshine deluxe: brighter days ahead,6232372260,5646456
