Base_Name,Total_Num,Daily_Raw
After Hours,2149087849,972547
Christmas & Chill,1922128975,78216
Christmas Kisses,2199741438,74304
Dangerous Woman,8780506520,3596482
My Everything,8601709782,3727254
Positions,6449663199,1678466
Starboy,1275565326,440729
Sweet Talker,1663511019,499708
Sweetener,5875444990,1473130
The Remix,43478702,6840
When Christmas Comes Around...,288571387,8269
Wicked: For Good,103123097,231181
Wicked: OST,817231426,463987
Wicked: One Wonderful Night,22614056,31488
Yours Truly,2263292607,679676
Yours Truly (Tenth Anniversary Edition),2324997282,706666
k bye for now,351392198,89506
"thank u, next",9445472536,3158091
eternal sunshine deluxe: brighter days ahead,6650967967,4214050
