Base_Name,Total_Num,Daily_Raw
After Hours,2061608168,1075583
Christmas & Chill,1825346745,5367640
Christmas Kisses,2086253634,6333202
Dangerous Woman,8461371216,4356836
My Everything,8297860655,3966246
Positions,6298387358,2115973
Starboy,1236777906,503360
Sweet Talker,1624074566,489332
Sweetener,5745798946,1890929
The Remix,42973992,5939
When Christmas Comes Around...,255610767,1872779
Wicked: For Good,69482810,1011593
Wicked: OST,767528798,1129102
Wicked: One Wonderful Night,17810220,139511
Yours Truly,2201827277,897402
Yours Truly (Tenth Anniversary Edition),2260994287,932919
k bye for now,343446669,111846
"thank u, next",9159091431,3880935
eternal sunshine deluxe: brighter days ahead,6258966450,5735262
