Base_Name,Total_Num,Daily_Raw
After Hours,2101775241,1168453.0
Christmas & Chill,1917345357,152740.0
Christmas Kisses,2195205183,145768.0
Dangerous Woman,8602282325,4485957.0
My Everything,8426883485,4019806.0
Positions,6365254240,2101328.0
Starboy,1253358472,503635.0
Sweet Talker,1641631867,513476.0
Sweetener,5803437531,1839264.0
The Remix,43189113,6407.0
When Christmas Comes Around...,288053864,28358.0
Wicked: For Good,90589152,428811.0
Wicked: OST,795258471,604620.0
Wicked: One Wonderful Night,20676077,63895.0
Yours Truly,2228235587,861958.0
Yours Truly (Tenth Anniversary Edition),2288508698,897447.0
k bye for now,346956145,109613.0
"thank u, next",9285851397,3835268.0
eternal sunshine deluxe: brighter days ahead,6438505625,5389599.0
