Base_Name,Total_Num,Daily_Raw
After Hours,2057491341,1169227.0
Christmas & Chill,1804541208,6105763.0
Christmas Kisses,2061752640,7253718.0
Dangerous Woman,8445000352,4020479.0
My Everything,8283156598,3749203.0
Positions,6290375389,1971923.0
Starboy,1234726859,503464.0
Sweet Talker,1622190171,484290.0
Sweetener,5738886176,1723905.0
The Remix,42951288,6057.0
When Christmas Comes Around...,248373366,2154516.0
Wicked: For Good,65349412,1176563.0
Wicked: OST,762983559,1297968.0
Wicked: One Wonderful Night,17224564,171214.0
Yours Truly,2198549676,772063.0
Yours Truly (Tenth Anniversary Edition),2257584564,803710.0
k bye for now,343026040,101947.0
"thank u, next",9144164794,3724317.0
eternal sunshine deluxe: brighter days ahead,6237620636,5248376.0
