Base_Name,Total_Num,Daily_Raw
After Hours,2093811297,1184195.0
Christmas & Chill,1916194308,184553.0
Christmas Kisses,2194084016,181428.0
Dangerous Woman,8572022716,4400921.0
My Everything,8399481775,4125319.0
Positions,6351320124,2112810.0
Starboy,1249790524,492750.0
Sweet Talker,1637949634,543712.0
Sweetener,5791147291,1794594.0
The Remix,43144380,6735.0
When Christmas Comes Around...,287836245,36717.0
Wicked: For Good,87461511,516789.0
Wicked: OST,790828875,684856.0
Wicked: One Wonderful Night,20241500,70782.0
Yours Truly,2222462191,870240.0
Yours Truly (Tenth Anniversary Edition),2282502922,905066.0
k bye for now,346216935,113106.0
"thank u, next",9260130827,3789164.0
eternal sunshine deluxe: brighter days ahead,6402785577,5432671.0
