Base_Name,Total_Num,Daily_Raw
After Hours,2075237794,1166557
Christmas & Chill,1910600168,968245
Christmas Kisses,2187856426,1126346
Dangerous Woman,8511486802,4200200
My Everything,8343236596,3670119
Positions,6322117414,1902262
Starboy,1242706262,470659
Sweet Talker,1630278056,513933
Sweetener,5766376274,1684680
The Remix,43048191,6155
When Christmas Comes Around...,286440948,290374
Wicked: For Good,78893044,682063
Wicked: OST,779521805,904854
Wicked: One Wonderful Night,19085043,89169
Yours Truly,2211065574,732907
Yours Truly (Tenth Anniversary Edition),2270631625,765127
k bye for now,344710528,98506
"thank u, next",9205569803,3775167
eternal sunshine deluxe: brighter days ahead,6323531688,5508698
