Base_Name,Total_Num,Daily_Raw
After Hours,2154298811,850444.0
Christmas & Chill,1922728319,71189.0
Christmas Kisses,2200306903,68185.0
Dangerous Woman,8809482701,3368965.0
My Everything,8631511389,3452682.0
Positions,6463452813,1505862.0
Starboy,1279052636,349600.0
Sweet Talker,1667289813,447241.0
Sweetener,5887679197,1357503.0
The Remix,43530521,5901.0
When Christmas Comes Around...,288637911,7897.0
Wicked: For Good,104975261,213237.0
Wicked: OST,820668273,404700.0
Wicked: One Wonderful Night,22874978,29209.0
Yours Truly,2268713998,670867.0
Yours Truly (Tenth Anniversary Edition),2330657794,697946.0
k bye for now,352143415,83556.0
"thank u, next",9470888894,2955227.0
eternal sunshine deluxe: brighter days ahead,6685265058,3994277.0
