Base_Name,Total_Num,Daily_Raw
After Hours,2149952563,864714
Christmas & Chill,1922203792,74817
Christmas Kisses,2199812871,71433
Dangerous Woman,8783858497,3351977
My Everything,8605115821,3410418
Positions,6451236247,1573048
Starboy,1275974009,408683
Sweet Talker,1663955991,444972
Sweetener,5876859165,1414175
The Remix,43484544,5842
When Christmas Comes Around...,288579457,8070
Wicked: For Good,103348477,225380
Wicked: OST,817668112,436686
Wicked: One Wonderful Night,22644917,30861
Yours Truly,2263952464,659857
Yours Truly (Tenth Anniversary Edition),2325683498,686216
k bye for now,351479525,87327
"thank u, next",9448426320,2953784
eternal sunshine deluxe: brighter days ahead,6655253305,4285338
