Base_Name,Total_Num,Daily_Raw
After Hours,2102902121,1126880
Christmas & Chill,1917494208,148851
Christmas Kisses,2195346494,141311
Dangerous Woman,8606856241,4573916
My Everything,8431035121,4156541
Positions,6367334882,2080642
Starboy,1253858409,499937
Sweet Talker,1642150264,518397
Sweetener,5805225663,1788132
The Remix,43195554,6441
When Christmas Comes Around...,288081854,27990
Wicked: For Good,91014531,425379
Wicked: OST,795862362,603891
Wicked: One Wonderful Night,20740244,64167
Yours Truly,2229091403,855816
Yours Truly (Tenth Anniversary Edition),2289399034,890336
k bye for now,347065294,109149
"thank u, next",9289636338,3784941
eternal sunshine deluxe: brighter days ahead,6443795541,5289916
