Base_Name,Total_Num,Daily_Raw
After Hours,2135190679,979845
Christmas & Chill,1920995598,86999
Christmas Kisses,2198678512,83565
Dangerous Woman,8727824411,3819797
My Everything,8547770283,3812154
Positions,6424167950,1839725
Starboy,1268978305,484704
Sweet Talker,1656766400,499244
Sweetener,5853173314,1490499
The Remix,43387506,7365
When Christmas Comes Around...,288448467,9963
Wicked: For Good,100004041,231134
Wicked: OST,811208224,467257
Wicked: One Wonderful Night,22121180,35609
Yours Truly,2252785143,761869
Yours Truly (Tenth Anniversary Edition),2314052053,792091
k bye for now,350040254,90470
"thank u, next",9398603492,3341769
eternal sunshine deluxe: brighter days ahead,6587581748,4562966
