Base_Name,Total_Num,Daily_Raw
After Hours,2112614397,1090563.0
Christmas & Chill,1918743560,133100.0
Christmas Kisses,2196544469,129188.0
Dangerous Woman,8644240594,4010755.0
My Everything,8465610956,3748441.0
Positions,6384465294,1795982.0
Starboy,1258353917,500771.0
Sweet Talker,1646503708,497192.0
Sweetener,5819925957,1576698.0
The Remix,43250870,6575.0
When Christmas Comes Around...,288219495,13043.0
Wicked: For Good,94245863,329843.0
Wicked: OST,800861101,554845.0
Wicked: One Wonderful Night,21221604,48364.0
Yours Truly,2236310373,746656.0
Yours Truly (Tenth Anniversary Edition),2296907891,776977.0
k bye for now,347993962,97429.0
"thank u, next",9323094651,3603012.0
eternal sunshine deluxe: brighter days ahead,6487549951,4749524.0
