Base_Name,Total_Num,Daily_Raw
After Hours,2141286697,1034006
Christmas & Chill,1921498219,81636
Christmas Kisses,2199149142,77325
Dangerous Woman,8750863569,4008882
My Everything,8571004261,4054692
Positions,6435455508,1896169
Starboy,1271905433,471165
Sweet Talker,1659683549,544779
Sweetener,5862726864,1676637
The Remix,43426174,6838
When Christmas Comes Around...,288505293,9048
Wicked: For Good,101381256,228916
Wicked: OST,813821480,452127
Wicked: One Wonderful Night,22343031,38074
Yours Truly,2257427105,785792
Yours Truly (Tenth Anniversary Edition),2318888794,819844
k bye for now,350628682,99573
"thank u, next",9419094464,3472213
eternal sunshine deluxe: brighter days ahead,6615536268,9254563
