Base_Name,Total_Num,Daily_Raw
After Hours,2067042043,1088320.0
Christmas & Chill,1858668104,7005261.0
Christmas Kisses,2125631053,8285964.0
Dangerous Woman,8481804539,4134586.0
My Everything,8316552196,3746758.0
Positions,6308054698,1944450.0
Starboy,1239172406,475681.0
Sweet Talker,1626577835,488227.0
Sweetener,5754440189,1688493.0
The Remix,43004038,5930.0
When Christmas Comes Around...,267493205,2506232.0
Wicked: For Good,73768306,798546.0
Wicked: OST,772739781,1026538.0
Wicked: One Wonderful Night,18399017,109584.0
Yours Truly,2205618100,762892.0
Yours Truly (Tenth Anniversary Edition),2264950621,796225.0
k bye for now,343969527,102715.0
"thank u, next",9177857594,3772009.0
eternal sunshine deluxe: brighter days ahead,6284888809,5186830.0
