Base_Name,Total_Num,Daily_Raw
After Hours,2130026601,994230
Christmas & Chill,1920548909,90707
Christmas Kisses,2198259536,84143
Dangerous Woman,8708155810,3879630
My Everything,8528096711,3799391
Positions,6414418206,1784795
Starboy,1266436645,483210
Sweet Talker,1654365546,490577
Sweetener,5845228805,1554177
The Remix,43353797,6102
When Christmas Comes Around...,288400226,9370
Wicked: For Good,98767297,250656
Wicked: OST,808873209,466864
Wicked: One Wonderful Night,21927856,38945
Yours Truly,2248803854,763658
Yours Truly (Tenth Anniversary Edition),2309909416,794802
k bye for now,349548352,91225
"thank u, next",9381181963,3453375
eternal sunshine deluxe: brighter days ahead,6563900821,4597075
