Song,Streams_Num,Daily_Raw
34+35,1131228697,309820
34+35 - live from Vevo,327651,4508
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",285194720,52805
7 rings,2677403143,889248
7 rings (feat. 2 Chainz) - Remix,28361920,6527
7 rings - live,14538597,4239
A Hand For Mrs. Claus,9813711,17907
A Little More Homework (feat. Graham Phillips) - Single Version,2993176,268
Adore,69197211,29296
All My Love,38162952,8532
All My Love (Remix),82513067,10567
All My Love - French Version,738677,85
Almost Is Never Enough,365356237,126403
Almost Is Never Enough - Soundtrack Version,8850008,547
Arturo Sandoval,3833891,1337
Baby I,164393154,55175
Baby I - Cosmic Dawn Radio Edit,217823,31
Baby I - Live from London,7281329,4570
Bad Decisions,116605884,29165
Bad To You (with Normani & Nicki Minaj),73096423,6530
Bang Bang,1616271834,530863
Bang Bang - 3LAU Extended Mix,110677,2
Bang Bang - 3LAU Remix,24313677,1975
Bang Bang - A Cappella,179563,455
Bang Bang - Dada Life Remix,6418757,189
Bang Bang - Imanos & Gramercy Remix,3231383,338
Bang Bang - Kat Krazy Extended Mix,176940,4
Bang Bang - Kat Krazy Remix,2462105,117
Bang Bang - Super Stylers Remix,1500865,118
Bang Bang - iLL BLU Mix Radio Edit,112617,1
Be Alright,322394603,56023
Be My Baby,132986680,84833
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",304274701,63593
Bed (feat. Ariana Grande),319846099,34776
Best Mistake,261136146,79424
Better Left Unsaid,35923356,9729
Brand New You (feat. Brynn Williams & Caitlin Gann),4576091,2006
Break Free,1127107709,567103
Break Free - A Cappella,155209,275
Break Free - Zedd's Extended Mix,682645,1245
Break Your Heart Right Back,93294610,15288
Cadillac Song,4245074,3912
Come So Far (Got So Far to Go),5571478,499
Dance To This (feat. Ariana Grande),325746675,57221
Dancing Through Life,86302798,231180
Dangerous Woman,1488574510,691760
Daydreamin',226268544,88330
Daydreamin' - Live from London,7921015,4278
Dear Old Shiz,32757849,87264
December,92570231,175995
Defying Gravity,187929550,446224
Defying Gravity - Edit,17940190,144437
Die For You (with Ariana Grande) - Remix,1228417204,487787
