Base_Name,Total_Num,Daily_Raw
After Hours,2044365417,1050225
Christmas & Chill,1745434982,4564272
Christmas Kisses,1993039022,5123050
Dangerous Woman,8396025383,3968752
My Everything,8239635596,3623178
Positions,6265667224,2022655
Starboy,1228417204,487787
Sweet Talker,1616271834,530863
Sweetener,5717932254,1653236
The Remix,42885930,4731
Wicked: For Good,47014648,2366262
Wicked: OST,744238130,2071017
Wicked: One Wonderful Night,14729996,316363
Yours Truly,2188618748,851305
Yours Truly (Tenth Anniversary Edition),2247219562,888658
k bye for now,341709103,103594
"thank u, next",9099355922,3644915
eternal sunshine deluxe: brighter days ahead,6166857622,5506628
