Base_Name,Total_Num,Daily_Raw
After Hours,2100606788,1109708
Christmas & Chill,1917192617,152336
Christmas Kisses,2195059415,147316
Dangerous Woman,8597796368,4444733
My Everything,8422869335,4043133
Positions,6363152912,2064097
Starboy,1252854837,518436
Sweet Talker,1641118391,513453
Sweetener,5801598267,1815222
The Remix,43182706,6078
When Christmas Comes Around...,288025506,27970
Wicked: For Good,90160341,435520
Wicked: OST,794653851,615204
Wicked: One Wonderful Night,20612182,62793
Yours Truly,2227373629,845513
Yours Truly (Tenth Anniversary Edition),2287611251,880268
k bye for now,346846532,106697
"thank u, next",9282016129,3842462
eternal sunshine deluxe: brighter days ahead,6433116026,5328052
