Base_Name,Total_Num,Daily_Raw
After Hours,2045455131,1089714
Christmas & Chill,1749822272,4387290
Christmas Kisses,1998002635,4963613
Dangerous Woman,8400148624,4123241
My Everything,8243330012,3700233
Positions,6267795994,2128770
Starboy,1228930906,513702
Sweet Talker,1616763266,491432
Sweetener,5719658690,1726436
The Remix,42891039,5109
Wicked: For Good,49211090,2196442
Wicked: OST,746187258,1949128
Wicked: One Wonderful Night,15030967,300971
Yours Truly,2189445954,827206
Yours Truly (Tenth Anniversary Edition),2248083646,864084
k bye for now,341830710,121607
"thank u, next",9103136097,3780175
eternal sunshine deluxe: brighter days ahead,6172563123,5705501
