Base_Name,Total_Num,Daily_Raw
After Hours,2039199308,1067206
Christmas & Chill,1725091910,2914464
Christmas Kisses,1969889525,3314759
Dangerous Woman,8376861464,3986147
My Everything,8222332443,3701093
Positions,6256035611,2129347
Starboy,1226001027,503075
Sweet Talker,1613750580,544267
Sweetener,5710054910,1780372
The Remix,42861359,5777
Wicked: For Good,33829406,6082604
Wicked: OST,732952454,2849760
Wicked: One Wonderful Night,12965823,551900
Yours Truly,2184489047,903650
Yours Truly (Tenth Anniversary Edition),2242914145,941486
eternal sunshine,5481067128,4570682
k bye for now,341210546,115326
"thank u, next",9082277516,3512403
eternal sunshine deluxe: brighter days ahead,6127389595,5784808
