Base_Name,Total_Num,Daily_Raw
After Hours,2055211672,1003721
Christmas & Chill,1793209657,4583781
Christmas Kisses,2048361624,5359860
Dangerous Woman,8436689119,4247140
My Everything,8275402367,3846920
Positions,6286328664,2064426
Starboy,1233699354,526187
Sweet Talker,1621191715,491592
Sweetener,5735346216,1849605
The Remix,42938677,6705
When Christmas Comes Around...,244415801,1598229
Wicked: For Good,62891025,1288902
Wicked: OST,760333147,1331388
Wicked: One Wonderful Night,16868311,178104
Yours Truly,2196926669,883021
Yours Truly (Tenth Anniversary Edition),2255894816,919898
k bye for now,342808244,113222
"thank u, next",9136495141,3847192
eternal sunshine deluxe: brighter days ahead,6226725804,5852790
