Base_Name,Total_Num,Daily_Raw
After Hours,2137037721,959266
Christmas & Chill,1921165317,84807
Christmas Kisses,2198837470,78985
Dangerous Woman,8734846316,3627324
My Everything,8554840307,3654609
Positions,6427664352,1821488
Starboy,1269913667,484039
Sweet Talker,1657700190,478336
Sweetener,5856070249,1502774
The Remix,43399670,6075
When Christmas Comes Around...,288468356,10130
Wicked: For Good,100450917,229543
Wicked: OST,812064928,427574
Wicked: One Wonderful Night,22191464,37292
Yours Truly,2254285318,772680
Yours Truly (Tenth Anniversary Edition),2315612315,804801
k bye for now,350223532,97868
"thank u, next",9404921702,3234701
eternal sunshine deluxe: brighter days ahead,6596484942,8903194
